,DATA,UNIDADE_ID,TIPO_UNIDADE,METRAGEM,VALOR_COTA,PAGOU,DIAS_ATRASO,VALOR_PAGO,DESPESA_TOTAL,OBRA_EXTRAORDINARIA,PAGOU_NUM,MEDIA_PAGAMENTO_UNIDADE,NOME,IDADE,RESIDENTES,RENDA_APROXIMADA
0,2020-01-01,Apt001,apartamento,39,556.45,True,0,556.45,33048.31668725768,0.0,1,0.95,Augusto Viana,58,2,9705.87
1,2020-01-01,Apt002,apartamento,55,619.22,True,0,619.22,33048.31668725768,0.0,1,0.9833333333333332,Maya Pacheco,38,1,22234.03
2,2020-01-01,Apt003,apartamento,39,568.89,True,0,568.89,33048.31668725768,0.0,1,0.95,Luísa Fonseca,55,2,3988.66
3,2020-01-01,Apt004,apartamento,39,572.01,True,0,572.01,33048.31668725768,0.0,1,0.9666666666666668,Nicolas Macedo,40,1,9556.42
4,2020-01-01,Apt005,apartamento,39,575.91,False,30,243.17,33048.31668725768,0.0,0,0.1333333333333333,Eloah Viana,63,1,1723.58
5,2020-01-01,Apt006,apartamento,39,546.75,True,0,546.75,33048.31668725768,0.0,1,0.9333333333333332,João Miguel Pereira,35,1,8188.77
6,2020-01-01,Apt007,apartamento,39,525.47,True,0,525.47,33048.31668725768,0.0,1,0.9666666666666668,Evelyn Pacheco,70,2,4059.02
7,2020-01-01,Apt008,apartamento,44,586.77,True,0,586.77,33048.31668725768,0.0,1,0.9833333333333332,Dra. Joana Melo,40,1,7274.97
8,2020-01-01,Apt009,apartamento,39,520.61,True,0,520.61,33048.31668725768,0.0,1,0.9833333333333332,Mirella das Neves,79,2,3953.59
9,2020-01-01,Apt010,apartamento,39,547.43,True,0,547.43,33048.31668725768,0.0,1,0.95,Ester Vasconcelos,66,2,4846.4
10,2020-01-01,Apt011,apartamento,32,493.99,True,0,493.99,33048.31668725768,0.0,1,0.9333333333333332,Elisa da Cruz,66,1,11383.31
11,2020-01-01,Apt012,apartamento,55,545.37,True,0,545.37,33048.31668725768,0.0,1,0.95,Heitor Marques,25,2,2187.77
12,2020-01-01,Apt013,apartamento,39,593.72,True,0,593.72,33048.31668725768,0.0,1,0.95,Srta. Heloisa Campos,37,2,11106.51
13,2020-01-01,Apt014,apartamento,39,513.82,True,0,513.82,33048.31668725768,0.0,1,0.95,Maria Luiza Azevedo,34,2,5357.36
14,2020-01-01,Apt015,apartamento,39,515.01,True,0,515.01,33048.31668725768,0.0,1,0.9666666666666668,Otto Monteiro,59,1,11185.47
15,2020-01-01,Apt016,apartamento,39,585.74,True,0,585.74,33048.31668725768,0.0,1,0.95,Ana Clara Cassiano,79,2,3748.86
16,2020-01-01,Apt017,apartamento,39,568.92,True,0,568.92,33048.31668725768,0.0,1,0.9333333333333332,Caroline Gonçalves,34,1,10056.35
17,2020-01-01,Apt018,apartamento,39,572.92,True,0,572.92,33048.31668725768,0.0,1,0.9666666666666668,Maria Júlia Freitas,52,1,12257.5
18,2020-01-01,Apt019,apartamento,39,482.6,True,0,482.6,33048.31668725768,0.0,1,0.9833333333333332,José Montenegro,60,2,1727.16
19,2020-01-01,Apt020,apartamento,39,487.68,True,0,487.68,33048.31668725768,0.0,1,0.9833333333333332,Sophie Albuquerque,42,2,15516.84
20,2020-01-01,Apt021,apartamento,39,580.69,True,0,580.69,33048.31668725768,0.0,1,0.95,Matteo da Cruz,59,2,2763.06
21,2020-01-01,Apt022,apartamento,39,542.81,False,53,433.37,33048.31668725768,0.0,0,0.1,Sophie Barros,20,1,4019.66
22,2020-01-01,Apt023,apartamento,39,510.57,True,0,510.57,33048.31668725768,0.0,1,1.0,Maria Helena da Cruz,58,1,4258.34
23,2020-01-01,Apt024,apartamento,39,560.57,True,0,560.57,33048.31668725768,0.0,1,0.9333333333333332,Mateus Pinto,51,1,5854.49
24,2020-01-01,Apt025,apartamento,39,577.95,True,0,577.95,33048.31668725768,0.0,1,0.9833333333333332,Anna Liz Camargo,23,2,11882.25
25,2020-01-01,Apt026,apartamento,39,490.69,True,0,490.69,33048.31668725768,0.0,1,0.9833333333333332,Gabriela Correia,32,2,39907.56
26,2020-01-01,Apt027,apartamento,39,589.6,True,0,589.6,33048.31668725768,0.0,1,0.9666666666666668,Isis Nunes,47,2,3757.78
27,2020-01-01,Apt028,apartamento,39,590.39,True,0,590.39,33048.31668725768,0.0,1,0.9833333333333332,Rafael Ferreira,63,2,5118.52
28,2020-01-01,Apt029,apartamento,39,583.64,True,0,583.64,33048.31668725768,0.0,1,0.9333333333333332,Srta. Ana Luiza Pereira,77,1,3314.0
29,2020-01-01,Apt030,apartamento,32,550.24,True,0,550.24,33048.31668725768,0.0,1,0.9666666666666668,Ester Cavalcanti,76,2,4594.5
30,2020-01-01,Apt031,apartamento,39,559.31,True,0,559.31,33048.31668725768,0.0,1,0.9666666666666668,Luara Teixeira,25,2,28138.57
31,2020-01-01,Apt032,apartamento,39,493.47,True,0,493.47,33048.31668725768,0.0,1,0.9833333333333332,Vicente Fonseca,43,1,5242.85
32,2020-01-01,Apt033,apartamento,39,480.75,True,0,480.75,33048.31668725768,0.0,1,0.9666666666666668,Henry Cavalcante,43,1,5840.75
33,2020-01-01,Apt034,apartamento,44,609.41,True,0,609.41,33048.31668725768,0.0,1,0.9833333333333332,Pedro Rios,58,2,5729.55
34,2020-01-01,Apt035,apartamento,55,561.49,True,0,561.49,33048.31668725768,0.0,1,0.9833333333333332,Maitê Camargo,75,1,5453.17
